p,d,q,AIC
0,2,6,1169.1826746976826
4,1,6,1172.1505446000676
6,1,6,1173.64953223318
0,1,6,1174.1208452063613
5,1,6,1174.4403155782293
1,1,6,1175.9358215695815
4,0,6,1176.5602044457937
2,1,6,1178.1057919408947
3,1,6,1180.353597974613
2,2,6,1181.8977650891889
3,2,6,1183.4800320496436
1,2,6,1183.5027919877643
5,2,6,1185.4367230982036
0,2,5,1185.6425062884123
4,2,6,1185.7186832389668
6,1,1,1186.6239969579892
2,0,6,1187.0364264517125
6,2,6,1187.552355328949
3,0,6,1187.5645185399521
0,0,6,1187.6651822746767
0,1,5,1188.3027870424983
1,0,6,1188.538283097296
6,1,2,1189.3985106609869
6,2,1,1189.5328482391155
6,1,5,1190.1075831037288
1,1,5,1190.2029974248185
2,1,5,1192.177624728576
6,0,0,1192.2063892978047
4,2,5,1192.216286428822
5,1,5,1192.8907502122133
3,0,5,1193.0444110754538
2,2,5,1193.07829390068
6,0,6,1193.294999882081
6,0,5,1193.323246763104
1,2,5,1193.450601713531
6,2,2,1193.466295911186
6,0,4,1193.698476620538
3,2,5,1193.7360604357395
3,1,5,1193.9137097851733
6,0,1,1194.3189036886508
5,0,5,1194.4725836492344
4,0,5,1194.514457717425
4,1,5,1194.5612140746537
6,1,3,1194.7241831063748
6,1,4,1195.6346357419238
6,0,2,1196.241624646608
6,2,3,1197.5457886460313
6,2,4,1198.1748620084898
0,0,5,1198.3322305697277
2,0,5,1198.6143221999941
5,1,1,1199.7993158120341
1,0,5,1200.2550801683647
6,1,0,1202.0645398803345
3,1,4,1203.0765639903661
4,0,4,1203.0955983605854
1,1,4,1203.586241313352
0,1,4,1203.8743068935212
5,2,5,1204.1671083492483
0,2,4,1204.5858574668184
5,1,2,1204.7480546992435
5,0,0,1205.0039766547961
5,0,6,1205.3159586414836
6,2,5,1205.4462055498727
2,1,4,1205.9689023580531
2,2,4,1206.0206808783544
5,2,1,1206.21937556895
3,0,4,1206.3901712028626
5,1,4,1206.7393075576244
1,2,4,1207.1866672677
5,0,4,1207.2345380544386
5,0,1,1207.6529167543977
3,2,4,1208.2830659661965
5,2,3,1208.436787344148
5,0,2,1208.5152272778942
5,2,2,1209.1562973695218
6,2,0,1209.4087614438965
0,0,4,1209.4582804414113
5,0,3,1210.2207956023622
4,1,4,1210.2321958539123
4,2,4,1211.0257106789095
2,0,4,1212.280291499045
5,2,4,1212.31215720798
6,0,3,1212.3870863410996
5,1,3,1213.4845522656165
1,0,4,1215.3003126249018
5,1,0,1215.388343849029
4,1,1,1217.2007841107331
4,2,1,1217.3253781011463
2,2,3,1217.444456589113
4,1,3,1217.6026294982264
0,2,3,1217.6524432886004
1,2,3,1218.5155600853816
3,1,3,1218.9627504667355
4,1,2,1219.8668329159057
4,2,2,1220.162169516447
4,2,3,1221.244483117857
3,2,3,1222.6930967950816
5,2,0,1222.9567776689344
4,1,0,1228.2681769153646
0,1,3,1229.9333913161297
1,0,3,1230.336899634132
0,0,3,1231.4979770878429
4,0,1,1231.7694735079783
2,2,2,1231.9144564379008
4,0,0,1231.9171099364733
3,2,1,1231.930724584013
1,1,3,1232.3741544441627
2,0,3,1232.5249528625254
3,2,2,1233.4897447228618
4,0,2,1234.1792700260462
4,2,0,1234.2561531448212
2,1,3,1234.8991992662263
3,0,3,1235.293136293145
0,2,2,1235.3832537426297
4,0,3,1236.036993634682
0,1,2,1236.684075300699
3,1,2,1237.0329183566557
1,2,2,1238.33411347543
3,1,0,1244.0021525713478
1,1,2,1244.7687842256344
3,1,1,1245.1388587557672
2,1,2,1246.763701732269
1,1,1,1247.293602917576
3,0,1,1247.6960797313052
2,0,2,1248.0662922770491
2,2,1,1249.091646346437
1,0,2,1249.1951336878128
3,0,2,1249.6530434840952
0,2,1,1250.7927048569882
3,0,0,1251.1503074339755
3,2,0,1251.621717898111
1,2,1,1252.3504211268007
0,0,2,1252.955712558305
2,1,1,1257.451387708643
2,1,0,1257.509338734272
0,1,1,1259.5900608325371
1,0,1,1262.7352262517625
2,0,0,1263.2941578914595
2,0,1,1265.9508505118401
0,0,1,1265.9559194548904
2,2,0,1270.1606718554438
0,1,0,1271.4136968345488
1,1,0,1273.3085476760216
1,0,0,1274.191764098228
1,2,0,1312.99221074446
0,2,0,1329.6006625157315
0,0,0,1333.5763158167858
